1: Cell Index,1: Cell Length pixels,1: Cell Width pixels,1: Cell area pixels^2
1,135.550925544198,34.2596758730176,3538
2,118.072215080883,34.2618233985881,3117
3,133.2253784939,35.605972919282,3622
4,135.026775485218,34.4889940973648,3583
5,89.8168382274751,35.5972871820706,2457
6,88.6612576550319,34.7292332104979,2341
7,105.714422153917,34.4803168614199,2776
8,116.837485711206,35.2947434618462,3195
9,98.0369529039474,33.7003131428176,2520
10,175.723326628751,38.2621300535111,4600
11,120.907497518283,34.2745835379228,3152
12,93.830056498887,32.9672560442552,2380
13,144.438737540884,34.7782311866278,3842
14,146.563950765607,34.9276139289935,3819
15,101.69613173314,33.5179016521261,2613
16,154.608690828799,35.5141751663246,4155
17,134.475889313937,34.9788203624855,3623
18,151.428264327309,34.7306593293907,4007
19,97.6879812835479,34.8137122592454,2622
20,141.433789824732,34.7727794515957,3761
21,120.941993562155,34.7204504460837,3260
22,161.272983376838,35.8521823749394,4348
23,135.70893380631,34.350712794779,3589
24,110.65327650537,33.6806504699188,2838
25,156.441561040733,35.002564597926,4089
26,124.325706647616,34.3228679987407,3286
27,123.515081167842,34.8876418471507,3350
28,149.463439179196,33.1938599531031,3810
29,141.235786358388,33.900181693073,3685
30,71.4124407741799,35.5532480239549,1934
31,143.49150327961,33.5404429544615,3614
32,110.058696757327,32.2874277412437,2758
33,128.595432164024,36.3144716416376,3579
34,83.6284706237266,35.5061580374562,2261
35,145.066144510767,34.6087342502821,3804
36,151.126731736936,36.1592424722451,4118
37,157.654325237474,34.9381878863834,4207
38,155.8924553257,35.1980813309709,4204
39,123.586162068973,33.6096049317722,3174
40,116.815540852311,33.9725928340202,2936
41,140.794222726559,35.0414254006538,3746
42,174.089829034754,35.2764527697947,4491
43,102.226796333472,31.4866274310694,2457
44,128.809126681057,33.7464389501748,3347
45,158.698080667936,33.3572770266551,4044
46,126.682392800589,35.0137413817559,3335
47,134.041535411706,33.9944282188675,3496
48,132.951660914239,33.9718618006661,3465
49,109.150486080689,34.5604639912931,2931
50,157.130366539405,34.0440790388745,4087
51,195.04359254046,37.066091449427,5263
52,132.150466617504,34.4054524518366,3499
53,166.389651451347,36.6112093467504,4597
54,143.287622695073,34.159265152437,3770
55,105.515094858135,34.1314352955841,2797
56,90.7765234138394,34.2927782801474,2420
57,98.7057592125572,31.4173762737378,2355
58,142.465479749909,32.3568899122073,3494
59,119.779637937254,32.6290633826497,2995
60,149.340696455558,33.2577092682698,3831
61,110.593658312655,34.7204786477224,2928
62,108.850429635614,34.0169932702178,2836
63,95.3506269867995,34.587073616598,2544
64,116.286174683642,34.5568615210571,3052
65,140.267854288986,33.789851887302,3586
66,122.40356745136,34.8872370879086,3215
67,125.697884715132,34.5702142432603,3337
68,160.727409851199,34.3892130141917,4165
69,91.7029232560058,33.5648619739492,2368
70,89.1569428146602,34.2970996226077,2337
71,136.962824176821,34.2904165446386,3615
72,89.726990480825,36.4986636216539,2542
73,100.030473930587,34.601351681844,2663
74,151.974027030012,34.1249785793885,3902
75,160.55575683613,35.2482678491601,4227
76,147.453619616838,34.2547002034148,3880
77,104.136662730501,32.6406656464796,2595
78,126.545738259828,34.3555458533575,3370
79,110.357306723162,36.0498429960771,3089
80,173.732661036259,34.3203144972514,4488
81,169.764331185859,37.3117067353612,4568
82,106.887246878914,34.3730518280744,2821
83,131.472174220434,34.9019041895939,3503
84,95.3064628828404,33.1140621539019,2403
85,90.6824738147337,33.2055719753204,2332
86,86.1342153570171,33.5029947067228,2209
87,167.359945743448,35.7494896759071,4438
88,120.819295365651,35.0680825511326,3251
89,99.6201667540054,32.7329334421902,2487
90,137.940669436844,35.7142966138079,3746
91,92.3284436599366,34.0950378143832,2439
92,142.832672749924,34.4483641581531,3709
93,92.9858427509363,34.1648200823077,2427
94,93.9509151829236,24.3632917032844,1753
95,94.5400159746985,31.4170542707063,2260
96,150.881305100658,33.4494974380145,3880
97,98.3663316636405,34.8167504591371,2638
98,112.410320556079,36.1161160932351,3117
99,102.360442319779,33.0364658088419,2598
